Short_Name,Iteration_Count_o,Error_Final_o,Duration_o,Error_Initial_o,Duration_Log_o,Iteration_Count_m,Error_Final_m,Duration_m,Error_Initial_m,Duration_Log_m
instance_0000005031,23.0,5.271249198245592e-18,1.0847196578979492,0.0014499665555438,0.0813215737890485,22.0,5.2928501420019536e-18,1.0636727809906006,0.0005653530585656,0.061727806957386
instance_0000005096,23.0,1.5220309189544096e-17,1.145082712173462,0.0045454291795409,0.1354768721032658,22.0,1.1718188405355789e-17,1.1417763233184814,0.0011957318215909,0.1325852280556368
instance_0000005097,23.0,1.2600431518302401e-17,1.107583999633789,0.0037077246739966,0.1021810662314424,21.0,9.53298694472046e-18,0.8902363777160645,0.0008105411311599,-0.1162682585801143
instance_0000005067,23.0,9.542582424767964e-18,1.219184398651123,0.0028404390218667,0.1981821094864175,23.0,8.89815933501733e-18,1.0090460777282717,0.0007508716102058,0.0090054070565006
instance_0000005047,23.0,2.4026074729893093e-17,1.087015151977539,0.0088277099525472,0.0834355473036872,22.0,1.9324162538820922e-17,1.0344898700714111,0.0021611318953128,0.0339084260544168
instance_0000005030,22.0,4.4226450069875445e-18,1.0744569301605225,0.0011665730063074,0.0718153526865631,22.0,3.60128539429819e-18,1.078894853591919,0.0005634404016265,0.0759372335127276
instance_0000005044,23.0,1.41132566765658e-17,1.1586050987243652,0.0046346274155125,0.1472167804340084,22.0,1.1763138238323637e-17,1.0879108905792236,0.0008817835099735,0.0842592430384408
instance_0000005032,22.0,8.213160819892995e-18,1.122927188873291,0.0022600813730954,0.1159388373883526,22.0,7.088157438676701e-18,1.019057035446167,0.0006018452764068,0.0188777246527891
instance_0000005054,23.0,1.92435195932194e-17,1.079261302947998,0.0066984158291256,0.0762768283640921,22.0,1.6286237639232697e-17,1.027275323867798,0.001861239123844,0.026909980575648
instance_0000005019,21.0,1.0789412600738217e-17,1.0482070446014404,0.003202943235238,0.0470811280287148,20.0,8.86004962710548e-18,0.9362049102783204,0.0005610662240106,-0.0659209052267806
instance_0000005034,23.0,7.799949945650004e-18,1.1888997554779053,0.0021112330983588,0.173028304211473,22.0,6.333414789881436e-18,0.8850307464599609,0.0005916337481999,-0.1221328928150208
instance_0000005057,23.0,1.0636269076335077e-17,1.069011926651001,0.0028613473595294,0.0667347888104195,23.0,9.184632751094089e-18,0.9537925720214844,0.0008836464657946,-0.0473090609219966
instance_0000005005,23.0,1.3646254566501018e-17,1.0915820598602295,0.0042469908530411,0.0876280749975275,21.0,1.2776108493964683e-17,0.9485740661621094,0.000915272333158,-0.0527954049782514
