Name,Iteration_Count,Error_Final,Duration,Error_Initial,Model Flag,Duration_Log
instance_0000000012_info_m.npy,15.0,2.2317590038493352e-13,0.3637723922729492,316.6780398317581,m,-1.0112269028778813
instance_0000000012_info_o.npy,13.0,2.232063786593708e-13,0.29729366302490234,213.3370258147119,o,-1.213034864291355
instance_0000000013_info_m.npy,14.0,1.8272516531513428e-13,0.3280525207519531,208.89616354339938,m,-1.1145815591727521
instance_0000000013_info_o.npy,13.0,1.458491554975335e-13,0.29535794258117676,210.59812046508452,o,-1.219567293492369
instance_0000000014_info_m.npy,13.0,9.978986199615391e-14,0.3198845386505127,61.27038260665558,m,-1.1397951650155267
instance_0000000014_info_o.npy,13.0,1.0063198243518671e-13,0.31359052658081055,173.99401452347325,o,-1.1596671995692827
instance_0000000015_info_m.npy,13.0,9.318631098403951e-14,0.2995164394378662,44.99802821434726,m,-1.2055859733241103
instance_0000000015_info_o.npy,13.0,9.004313071891256e-14,0.2750532627105713,170.42186623752625,o,-1.2907905174857204
instance_0000000016_info_m.npy,14.0,1.1328931000825725e-13,0.36540746688842773,35.395029565169935,m,-1.0067422004127888
instance_0000000016_info_o.npy,13.0,1.0973246039743304e-13,0.340792179107666,205.9673514635253,o,-1.0764824329180407
instance_0000000017_info_m.npy,13.0,1.2288511071352055e-13,0.30821800231933594,74.02732578096773,m,-1.1769479466425583
instance_0000000017_info_o.npy,13.0,1.085845140080111e-13,0.2885620594024658,164.5891753305687,o,-1.2428451055864755
instance_0000000018_info_m.npy,14.0,1.4990823109731033e-13,0.3255593776702881,132.70157478754967,m,-1.1222104140919986
instance_0000000018_info_o.npy,13.0,2.553082586986779e-13,0.2775707244873047,214.45378320204836,o,-1.2816795152503953
instance_0000000019_info_m.npy,14.0,1.159114927368902e-13,0.3030734062194824,45.772198368568674,m,-1.1937802380633666
instance_0000000019_info_o.npy,13.0,1.1607485029455031e-13,0.27431774139404297,214.93665746978925,o,-1.2934682043330683
instance_0000000020_info_m.npy,15.0,1.6223575641028952e-13,0.3533601760864258,74.39925656372213,m,-1.0402674133737904
instance_0000000020_info_o.npy,14.0,1.6170605723726124e-13,0.3028371334075928,240.30976974753702,o,-1.1945601314912342
instance_0000000021_info_m.npy,14.0,1.7482949366784185e-13,0.3574817180633545,104.25301716929617,m,-1.0286710564400043
instance_0000000021_info_o.npy,13.0,1.5900524082815117e-13,0.26757216453552246,200.03825129309976,o,-1.3183659750639587
instance_0000000022_info_m.npy,13.0,8.801040537057496e-14,0.29807138442993164,43.12803769980845,m,-1.2104222760961865
instance_0000000022_info_o.npy,12.0,8.630941637460334e-14,0.2505815029144287,169.57609633701466,o,-1.3839710504397655
instance_0000000023_info_m.npy,13.0,1.2173755593528375e-13,0.3117523193359375,69.71596673377005,m,-1.165546254719313
instance_0000000023_info_o.npy,13.0,1.145151067827428e-13,0.2690401077270508,166.2273172917891,o,-1.3128948111374363
instance_0000000024_info_m.npy,14.0,1.750078849120374e-13,0.3332986831665039,120.29802037045089,m,-1.0987162445718257
instance_0000000024_info_o.npy,13.0,1.8999841512877263e-13,0.2727625370025635,223.7025799969632,o,-1.2991536901463554
instance_0000000025_info_m.npy,14.0,9.695646009770175e-14,0.3858976364135742,39.47373611353014,m,-0.9521831353249701
instance_0000000025_info_o.npy,13.0,9.061090509022659e-14,0.27455902099609375,180.06057737701818,o,-1.2925890284082524
instance_0000000026_info_m.npy,13.0,9.967904234769923e-14,0.33118200302124023,68.93242389993601,m,-1.1050871966514182
instance_0000000026_info_o.npy,13.0,9.078131890768819e-14,0.2622222900390625,169.95848338574132,o,-1.3385626996751907
instance_0000000027_info_m.npy,13.0,1.2667742539418284e-13,0.2945077419281006,78.9559465294108,m,-1.2224499878553818
instance_0000000027_info_o.npy,13.0,1.1436919388554358e-13,0.26981210708618164,167.4398161926577,o,-1.3100294619151485
instance_0000000028_info_m.npy,13.0,1.3705322902845998e-13,0.29457950592041016,79.92245427611371,m,-1.2222063431561403
instance_0000000028_info_o.npy,13.0,1.210274693030407e-13,0.2815520763397217,170.47942820612934,o,-1.2674378526337895
instance_0000000029_info_m.npy,13.0,1.1706505420894017e-13,0.3017306327819824,75.04097776637042,m,-1.1982206040569143
instance_0000000029_info_o.npy,13.0,1.161971256514583e-13,0.26640748977661133,188.74876621587748,o,-1.3227282259340463
instance_0000000030_info_m.npy,13.0,1.054324741713591e-13,0.2931652069091797,90.0105107612501,m,-1.2270189827601425
instance_0000000030_info_o.npy,13.0,9.633837840532754e-14,0.2752690315246582,161.25183639556306,o,-1.29000636308237
instance_0000000031_info_m.npy,13.0,9.241884894862368e-14,0.30932068824768066,34.68090863668306,m,-1.1733767142092482
